G2.L2TV,G2.CPD,G2.TNL,G2.TTXD1_9
1.0,78.90405273,89.46833038,873.9951782
1.0,78.51542664,89.33426666,871.4629517
1.0,78.70261383,89.33146667,870.7069702
1.0,78.84633636,89.19132233,869.9297485
1.0,78.21325684,88.77809143,866.4562378
1.0,78.76729584,88.94987488,866.921875
1.0,78.32830811,88.51844025,864.5430298
1.0,78.42909241,88.49588013,863.5145264
1.0,78.5945282,88.55474854,862.7981567
1.0,78.01886749,88.31885529,861.335083
1.0,79.03350067,88.77349091,864.1777344
1.0,78.74571228,88.87389374,863.1939697
1.0,78.78884888,88.9230957,862.6668091
1.0,78.65934753,88.88710785,862.046814
1.0,78.54425812,89.01181793,860.9125977
1.0,78.52984619,88.89725494,861.1796265
1.0,78.86081696,89.1003952,862.1253662
1.0,78.83200836,89.20555878,862.4673462
1.0,78.93268585,89.20803833,862.4284058
1.0,79.06223297,89.23003387,862.2404785
1.0,79.01187134,89.3131485,863.5942383
1.0,78.95428467,89.25048828,862.0645752
1.0,79.00473022,89.28833008,862.5167847
1.0,78.70954895,89.08247375,860.9594116
1.0,79.21357727,89.30570221,861.8539429
1.0,78.84638214,89.17800903,861.1192627
1.0,78.88239288,89.12141418,861.0881958
1.0,78.947258,89.11120605,861.9044189
1.0,79.03351593,89.28150177,862.0164185
1.0,78.50823212,88.99794006,860.3912354
1.0,79.14859772,89.2436676,860.9187012
1.0,78.92559052,89.10379791,860.8018799
1.0,78.68088531,88.95449829,859.7486572
1.0,78.59446716,88.93017578,859.7803345
1.0,78.71685028,89.04605103,860.0174561
1.0,78.32847595,88.78514862,858.4976807
1.0,77.94701385,88.64363861,856.4204712
1.0,78.51541138,88.89172363,859.131897
1.0,79.02639008,88.97113037,861.2974854
1.0,78.58734894,88.76582336,860.092041
1.0,78.98314667,88.9874649,865.067627
1.0,78.48664093,88.6794281,859.4900513
1.0,78.32843781,88.70239258,860.6054688
1.0,78.70954895,88.71434021,860.7802124
1.0,78.28525543,88.64945221,859.6834717
1.0,78.42193604,88.57092285,859.6363525
1.0,78.45069885,88.53491211,859.0439453
1.0,77.91827393,88.3644104,856.8656616
1.0,78.20603943,88.48430634,858.4771118
1.0,78.47232819,88.50655365,859.7498779
1.0,78.385849,88.4389267,858.1560669
1.0,78.44346619,88.45658875,857.9284668
1.0,78.65929413,88.57580566,858.0227051
1.0,78.70259857,88.64425659,858.722229
1.0,78.22766113,88.38417053,857.5505981
1.0,78.19889832,88.42675781,857.4418335
1.0,78.50106812,88.54833221,858.4053955
1.0,77.99025726,88.36958313,856.1893921
1.0,78.19174194,88.4800415,856.9450073
1.0,78.61623383,88.64823151,858.6109009
1.0,78.73856354,88.70637512,859.1643677
1.0,78.78890228,88.75907898,857.5717163
1.0,78.40039825,88.47059631,856.1399536
1.0,78.78878784,88.58893585,857.8969116
1.0,78.30682373,88.48521423,854.3936768
1.0,78.31401825,88.4648056,855.6328125
1.0,78.67378235,88.58588409,857.8234863
1.0,78.74569702,88.64271545,857.1127319
1.0,78.4436264,88.59993744,856.296936
