G2.L2TV,G2.CPD,G2.TNL,G2.TTXD1_9,G2.L63QTX
0.0,-0.03291703761,0.0,72.11624146,0.0
0.0,-0.04111304879,0.0,72.23049164,0.0
0.0,-0.01172944903,0.0,72.17126465,0.0
0.0,-0.01784451306,0.0,72.31988525,0.0
0.0,-0.003366544843,0.0,72.29767609,0.0
0.0,-0.02285130322,0.0,72.17460632,0.0
0.0,-0.01845732331,0.0,72.20081329,0.0
0.0,-0.02220720053,0.0,72.31565857,0.0
0.0,0.004229694605,0.0,72.26018524,0.0
0.0,-0.02488009632,0.0,72.25213623,0.0
0.0,-0.0393293798,0.0,72.21080017,0.0
0.0,-0.006806105375,0.0,72.14325714,0.0
0.0,-0.01770369709,0.0,72.11434174,0.0
0.0,-0.04138685763,0.0,72.31424713,0.0
0.0,-0.02361536026,0.0,72.07720947,0.0
0.0,-0.01740641892,0.0,72.37817383,0.0
0.0,-0.02485401928,0.0,72.43878937,0.0
0.0,-0.02618394792,0.0,72.22682953,0.0
0.0,-0.01979507506,0.0,72.34529114,0.0
0.0,0.01156777143,0.0,72.2062149,0.0
0.0,-0.01016221941,0.0,72.30056763,0.0
0.0,-0.02588666975,0.0,72.33103943,0.0
0.0,-0.005841255188,0.0,72.46038055,0.0
0.0,-0.004018470645,0.0,72.5778656,0.0
0.0,-0.009880587459,0.0,72.52584839,0.0
0.0,-0.04132948816,0.0,72.50701904,0.0
0.0,-0.005890801549,0.0,72.46047211,0.0
0.0,0.02613440156,0.0,72.44789886,0.0
0.0,-0.02383440733,0.0,72.53501129,0.0
0.0,-0.004894658923,0.0,72.59320068,0.0
0.0,-0.008420273662,0.0,72.5046463,0.0
0.0,-0.0262517482,0.0,72.5759964,0.0
0.0,-0.03586113453,0.0,72.68318176,0.0
0.0,0.01249611378,0.0,72.65089417,0.0
0.0,0.003024935722,0.0,72.67686462,0.0
0.0,-0.008960068226,0.0,72.77354431,0.0
0.0,-0.006279349327,0.0,72.66447449,0.0
0.0,-0.005053728819,0.0,72.76982117,0.0
0.0,-0.003327429295,0.0,72.6782608,0.0
0.0,0.01274123788,0.0,72.84311676,0.0
0.0,-0.00259205699,0.0,72.8441925,0.0
0.0,0.01021698117,0.0,72.69423676,0.0
0.0,-0.011703372,0.0,72.78824615,0.0
0.0,-0.00607073307,0.0,72.81404877,0.0
0.0,-0.03959536552,0.0,72.94160461,0.0
0.0,-0.004440918565,0.0,72.99291229,0.0
0.0,0.002560764551,0.0,72.88717651,0.0
0.0,0.01247525215,0.0,72.78507233,0.0
0.0,-0.02249665558,0.0,72.9335556,0.0
0.0,-0.02545379102,0.0,72.98567963,0.0
0.0,-0.004187971354,0.0,73.04412842,0.0
0.0,-0.04096701741,0.0,73.15285492,0.0
0.0,0.01250132918,0.0,73.14493561,0.0
0.0,-0.005131959915,0.0,73.12163544,0.0
0.0,-0.04174150527,0.0,73.05992889,0.0
0.0,0.01844167709,0.0,73.06039429,0.0
0.0,0.01003444195,0.0,73.15460205,0.0
0.0,-0.00293366611,0.0,73.0820694,0.0
0.0,0.005601346493,0.0,73.10051727,0.0
0.0,-0.02619698644,0.0,73.33344269,0.0
0.0,-0.03336817026,0.0,73.1318512,0.0
0.0,0.02670288086,0.0,73.09657288,0.0
0.0,0.007489323616,0.0,73.23976135,0.0
0.0,0.005231052637,0.0,73.29567719,0.0
0.0,-0.01827217638,0.0,73.02325439,0.0
0.0,-0.03986917436,0.0,72.53093719,0.0
0.0,0.02534687519,0.0,73.00827026,0.0
0.0,-0.01003183424,0.0,73.13781738,0.0
0.0,0.009497255087,0.0,73.06602478,0.0
0.0,0.04096180201,0.0,73.33794403,0.0
0.0,0.02219155431,0.0,73.43280029,0.0
0.0,-0.02581365407,0.0,73.42177582,0.0
0.0,-0.01238659024,0.0,73.44989777,0.0
0.0,0.008892267942,0.0,73.4225235,0.0
0.0,0.01206323504,0.0,73.44773102,0.0
0.0,0.0111348927,0.0,73.47694397,0.0
0.0,-0.007976964116,0.0,73.58505249,0.0
0.0,-0.01122877002,0.0,73.63941193,0.0
0.0,0.004000216722,0.0,73.5619278,0.0
0.0,0.02692192793,0.0,73.5958786,0.0
0.0,0.003603845835,0.0,73.58729553,0.0
0.0,-0.009486824274,0.0,73.7292099,0.0
0.0,-0.0244602561,0.0,73.61089325,0.0
0.0,0.02069473267,0.0,73.80220795,0.0
0.0,0.007129460573,0.0,73.85170746,0.0
0.0,0.02273395658,0.0,73.76959229,0.0
0.0,0.01133829355,0.0,73.69554901,0.0
0.0,0.02038180828,0.0,73.87122345,0.0
0.0,0.02426207066,0.0,73.89877319,0.0
0.0,0.008156895638,0.0,73.69480896,0.0
0.0,0.01879110932,0.0,73.88600922,0.0
0.0,0.01062899828,0.0,73.90137482,0.0
0.0,0.01109316945,0.0,74.01054382,0.0
0.0,0.02417340875,0.0,73.91988373,0.0
0.0,0.0412017107,0.0,74.01754761,0.0
0.0,0.003327429295,0.0,73.85176086,0.0
0.0,0.02676025033,0.0,74.05162048,0.0
0.0,-0.01170858741,0.0,73.81300354,0.0
0.0,0.01011788845,0.0,74.13424683,0.0
0.0,0.04065409303,0.0,73.8764267,0.0
0.0,0.02113804221,0.0,74.01634216,0.0
0.0,0.005340576172,0.0,74.12952423,0.0
0.0,0.01094192266,0.0,74.11449432,0.0
0.0,0.01078546047,0.0,74.17868042,0.0
0.0,0.02001151443,0.0,74.08203888,0.0
0.0,0.01806095243,0.0,74.18170929,0.0
0.0,0.0380307436,0.0,74.18362427,0.0
0.0,0.04217177629,0.0,74.26734161,0.0
0.0,0.01221969724,0.0,74.3667984,0.0
0.0,0.04290193319,0.0,74.30160522,0.0
0.0,0.2508975565,0.0,75.94168091,0.0
0.0,0.4577249289,0.0,79.05142212,0.0
0.0,0.5415939093,0.0,81.29277802,0.0
1.0,1.01935637,0.0,224.896286,0.0
1.0,1.512994647,0.0,414.5971069,0.0
1.0,2.17100668,0.0,501.8060913,0.0
1.0,3.10106492,0.0,626.3591309,0.0
1.0,4.616130352,0.0,710.8946533,0.0
1.0,6.513604641,0.0,743.4324951,0.0
1.0,9.457028389,0.0,770.4581299,0.0
1.0,15.5290966,0.0,780.4668579,0.0
1.0,24.93408585,0.0,783.4382935,0.0
1.0,33.37146759,0.0,735.4932861,0.0
1.0,37.30483627,0.0,713.4075928,0.0
1.0,39.39194489,0.0,715.6932373,0.0
1.0,40.40165329,0.0,716.4440918,0.0
1.0,40.59716034,0.0,718.2359009,0.0
1.0,40.85712433,0.0,719.4431152,0.0
1.0,40.89434052,0.0,719.8347778,0.0
1.0,42.45185471,0.0,732.0866089,0.0
1.0,43.04162216,0.0,730.5424194,0.0
1.0,42.59358215,0.0,732.609436,0.0
1.0,42.64753723,0.0,734.036438,0.0
1.0,64.72988892,0.0,822.5835571,0.0
1.0,81.23553467,0.0,839.1946411,0.0
1.0,81.16999817,0.0,848.7114258,0.0
1.0,80.95464325,0.0,850.9781494,0.0
1.0,93.28852844,0.0,926.5557251,0.0
1.0,93.67389679,0.0,940.5176392,0.0
1.0,93.20046997,0.0,937.6400757,0.0
1.0,93.09680939,0.0,942.9562378,0.0
1.0,93.16310883,0.0,944.6118774,0.0
1.0,83.0,0.002009588527,967.99646,0.0
0.0,75.0,0.0,535.7687378,0.0
0.0,1.265148044,0.0,548.6882935,0.0
0.0,0.3803178668,0.0,557.6008911,0.0
0.0,0.1530513167,0.0,575.40448,0.0
0.0,0.1095287502,0.0,598.0845947,0.0
0.0,0.0424169004,0.0,644.4312134,0.0
0.0,0.05733817816,0.0,658.7932739,0.0
0.0,0.03561601043,0.0,696.1436768,0.0
0.0,0.01157298684,0.0,696.8743896,0.0
0.0,-0.008003041148,0.0,697.8755493,0.0
0.0,0.03442689776,0.0,699.9376221,0.0
0.0,0.01180768013,0.0,694.4232178,0.0
0.0,0.00412017107,0.0,691.6739502,0.0
0.0,-0.02083554864,0.0,688.7891846,0.0
0.0,0.03670603037,0.0,684.7592163,0.0
0.0,0.02156049013,0.0,680.3761597,0.0
0.0,0.03817677498,0.0,674.3843384,0.0
0.0,0.02683326602,0.0,669.5688477,0.0
0.0,0.01059249043,0.0,665.4361572,0.0
0.0,0.03595501184,0.0,655.9810181,0.0
0.0,0.01985505223,0.0,651.8561401,0.0
0.0,-0.01801401377,0.0,643.473877,0.0
0.0,0.005246698856,0.0,642.9942627,0.0
0.0,0.02293735743,0.0,636.4748535,0.0
0.0,0.024215132,0.0,632.8798828,0.0
0.0,0.0342130661,0.0,627.1031494,0.0
0.0,0.01147389412,0.0,623.744751,0.0
0.0,0.01073852181,0.0,617.4068604,0.0
0.0,0.02033486962,0.0,606.5354614,0.0
0.0,-0.003447383642,0.0,596.3842163,0.0
0.0,0.003395229578,0.0,593.2632446,0.0
0.0,-0.005364045501,0.0,591.5689697,0.0
0.0,0.02035051584,0.0,584.406189,0.0
0.0,0.02503916621,0.0,580.2665405,0.0
0.0,0.01030042768,0.0,576.6420288,0.0
0.0,0.0224262476,0.0,570.4902344,0.0
0.0,-0.01046992838,0.0,566.9078979,0.0
0.0,0.01825913787,0.0,560.7036743,0.0
0.0,0.0245384872,0.0,559.0449219,0.0
0.0,-0.00454261899,0.0,556.0239258,0.0
0.0,-0.0106446445,0.0,557.3669434,0.0
0.0,0.004740804434,0.0,554.09552,0.0
0.0,0.02165436745,0.0,554.2092896,0.0
0.0,0.01001879573,0.0,551.9283447,0.0
0.0,0.02499744296,0.0,554.1190796,0.0
0.0,0.003332644701,0.0,551.0950317,0.0
0.0,0.01800879836,0.0,551.9557495,0.0
0.0,0.009043514729,0.0,547.9689331,0.0
0.0,0.01243874431,0.0,550.1054077,0.0
0.0,0.02289041877,0.0,549.0758667,0.0
0.0,-0.01156777143,0.0,551.3605957,0.0
0.0,-0.008482858539,0.0,550.22052,0.0
0.0,-0.005058944225,0.0,549.6871338,0.0
0.0,0.02609267831,0.0,545.1030273,0.0
0.0,0.01887455583,0.0,545.2723999,0.0
0.0,0.02013146877,0.0,546.9152832,0.0
0.0,0.02601444721,0.0,544.5084839,0.0
0.0,0.03870353103,0.0,544.9644775,0.0
0.0,0.01711696386,0.0,545.942688,0.0
0.0,0.006941705942,0.0,544.9375,0.0
0.0,0.02756863832,0.0,543.744873,0.0
0.0,-0.009027868509,0.0,544.2562866,0.0
0.0,0.01892149448,0.0,545.6890259,0.0
0.0,0.01078024507,0.0,537.4512329,0.0
0.0,-0.004344433546,0.0,538.7578125,0.0
0.0,0.003723800182,0.0,540.5671387,0.0
0.0,0.005470961332,0.0,538.4286499,0.0
0.0,0.02690628171,0.0,538.769043,0.0
0.0,0.03889650106,0.0,536.2293091,0.0
0.0,0.003953278065,0.0,535.7252808,0.0
0.0,0.0212945044,0.0,531.5820313,0.0
0.0,0.01187026501,0.0,530.3636475,0.0
0.0,0.02200379968,0.0,533.0775146,0.0
0.0,0.003082305193,0.0,530.6107788,0.0
0.0,0.03675296903,0.0,530.8773804,0.0
0.0,0.01166164875,0.0,529.0209961,0.0
0.0,0.00754147768,0.0,531.5357056,0.0
0.0,0.003233551979,0.0,531.40979,0.0
0.0,0.03714933991,0.0,527.7631836,0.0
0.0,0.04270896316,0.0,529.3725586,0.0
0.0,0.007645785809,0.0,528.2040405,0.0
0.0,0.001997500658,0.0,526.343689,0.0
0.0,0.02201423049,0.0,521.5369873,0.0
0.0,0.02630129457,0.0,522.3677368,0.0
